frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
443,4.9382,197,735,-185.8639,-76.4568,333,649,96.8586,72.2513
444,4.9549,197,737,-185.8639,-81.6924,334,650,99.4764,69.6335
445,4.9716,197,740,-185.8639,-89.5458,334,649,99.4764,72.2513
446,4.9883,196,742,-188.4817,-94.7814,334,649,99.4764,72.2513
447,5.0049,195,745,-191.0995,-102.6348,334,649,99.4764,72.2513
448,5.0216,194,748,-193.7173,-110.4882,335,649,102.0942,72.2513
449,5.0383,194,750,-193.7173,-115.7238,335,649,102.0942,72.2513
450,5.055,194,753,-193.7173,-123.5772,334,649,99.4764,72.2513
451,5.0717,193,756,-196.3351,-131.4306,335,649,102.0942,72.2513
452,5.0884,193,759,-196.3351,-139.284,335,649,102.0942,72.2513
453,5.105,193,762,-196.3351,-147.1374,335,649,102.0942,72.2513
454,5.1217,192,761,-198.9529,-144.5196,336,648,104.712,74.8691
455,5.1384,192,760,-198.9529,-141.9018,335,648,102.0942,74.8691
456,5.1551,191,758,-201.5707,-136.6662,336,648,104.712,74.8691
457,5.1718,191,756,-201.5707,-131.4306,337,648,107.3298,74.8691
458,5.1885,191,756,-201.5707,-131.4306,337,648,107.3298,74.8691
459,5.2052,190,754,-204.1885,-126.195,336,648,104.712,74.8691
460,5.2218,190,754,-204.1885,-126.195,337,648,107.3298,74.8691
461,5.2385,189,754,-206.8063,-126.195,336,647,104.712,77.4869
462,5.2552,189,753,-206.8063,-123.5772,337,648,107.3298,74.8691
463,5.2719,189,753,-206.8063,-123.5772,336,648,104.712,74.8691
464,5.2886,188,753,-209.4241,-123.5772,337,648,107.3298,74.8691
465,5.3052,188,752,-209.4241,-120.9594,336,647,104.712,77.4869
466,5.3219,187,752,-212.0419,-120.9594,336,647,104.712,77.4869
467,5.3386,187,753,-212.0419,-123.5772,336,647,104.712,77.4869
468,5.3553,187,753,-212.0419,-123.5772,336,647,104.712,77.4869
469,5.372,187,753,-212.0419,-123.5772,336,646,104.712,80.1047
470,5.3887,186,754,-214.6597,-126.195,337,645,107.3298,82.7225
471,5.4054,186,755,-214.6597,-128.8128,337,645,107.3298,82.7225
472,5.422,185,756,-217.2775,-131.4306,337,645,107.3298,82.7225
473,5.4387,185,757,-217.2775,-134.0484,337,645,107.3298,82.7225
474,5.4554,185,758,-217.2775,-136.6662,337,644,107.3298,85.3403
475,5.4721,184,760,-219.8953,-141.9018,336,645,104.712,82.7225
476,5.4888,184,761,-219.8953,-144.5196,336,645,104.712,82.7225
477,5.5055,184,763,-219.8953,-149.7552,336,645,104.712,82.7225
478,5.5221,183,765,-222.5131,-154.9908,337,646,107.3298,80.1047
479,5.5388,183,767,-222.5131,-160.2264,337,645,107.3298,82.7225
480,5.5555,182,767,-225.1309,-160.2264,336,644,104.712,85.3403
481,5.5722,182,766,-225.1309,-157.6086,337,644,107.3298,85.3403
482,5.5889,181,765,-227.7487,-154.9908,337,645,107.3298,82.7225
483,5.6055,181,765,-227.7487,-154.9908,337,645,107.3298,82.7225
484,5.6222,181,765,-227.7487,-154.9908,337,645,107.3298,82.7225
485,5.6389,180,764,-230.3665,-152.373,337,645,107.3298,82.7225
486,5.6556,180,764,-230.3665,-152.373,337,645,107.3298,82.7225
487,5.6723,179,764,-232.9843,-152.373,337,644,107.3298,85.3403
488,5.689,179,765,-232.9843,-154.9908,339,643,112.5654,87.9581
489,5.7057,178,765,-235.6021,-154.9908,338,643,109.9476,87.9581
490,5.7223,178,766,-235.6021,-157.6086,338,645,109.9476,82.7225
491,5.739,177,767,-238.2199,-160.2264,339,645,112.5654,82.7225
492,5.7557,177,768,-238.2199,-162.8442,338,643,109.9476,87.9581
493,5.7724,176,769,-240.8377,-165.462,339,645,112.5654,82.7225
494,5.7891,175,770,-243.4555,-168.0798,337,645,107.3298,82.7225
495,5.8058,175,770,-243.4555,-168.0798,337,645,107.3298,82.7225
496,5.8224,174,770,-246.0733,-168.0798,338,645,109.9476,82.7225
497,5.8391,174,770,-246.0733,-168.0798,337,645,107.3298,82.7225
498,5.8558,174,770,-246.0733,-168.0798,337,644,107.3298,85.3403
499,5.8725,172,770,-251.3089,-168.0798,338,644,109.9476,85.3403
500,5.8892,173,771,-248.6911,-170.6976,338,644,109.9476,85.3403
